link,title,score,release_date,rating,description,directors,writers,actors,critic_reviews_total_count,critic_reviews_overall_score,critic_reviews_positive_count,critic_reviews_positive_percent,critic_reviews_mixed_count,critic_reviews_mixed_percent,critic_reviews_negative_count,critic_reviews_negative_percent,user_reviews_overall_score,user_reviews_total_count,user_reviews_positive_count,user_reviews_positive_percent,user_reviews_mixed_count,user_reviews_mixed_percent,user_reviews_negative_count,user_reviews_negative_percent,production_companies,duration,genres,website,awards
https://www.metacritic.com/movie/dekalog-1988/,1.Dekalog (1988),100,"Mar 22, 1996",TV-MA,"This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time. Shot by nine different cinematographers, with stirring music by Zbigniew Preisner and compelling performances from established and unknown actors alike, Dekalog arrestingly explores the unknowable forces that shape our lives. Also available are the longer theatrical versions of the series’ fifth and sixth films: A Short Film About Killing and A Short Film About Love. [Janus Films]",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","[{'name': 'Artur Barcis', 'role': 'Young Man, Bicyclist, Hospital Orderly'}, {'name': 'Olgierd Lukaszewicz', 'role': 'Andrzej Geller'}, {'name': 'Olaf Lubaszenko', 'role': 'Tomek'}, {'name': 'Aleksander Bardini', 'role': 'Consultant'}, {'name': 'Krystyna Janda', 'role': 'Dorota Geller'}, {'name': 'Piotr Machalica', 'role': 'Roman'}, {'name': 'Jan Tesarz', 'role': 'Taxi Driver'}, {'name': 'Stanislaw Gawlik', 'role': 'Postman'}, {'name': 'Krzysztof Kumor', 'role': 'Gynecologist'}, {'name': 'Katarzyna Piwowarczyk', 'role': 'Ania'}, {'name': 'Maciej Szary', 'role': 'Apartment Caretaker'}, {'name': 'Henryk Baranowski', 'role': 'Krzysztof'}, {'name': 'Jerzy Stuhr', 'role': 'Jerzy'}, {'name': 'Daniel Olbrychski', 'role': 'Janusz'}, {'name': 'Grazyna Szapolowska', 'role': 'Magda'}, {'name': 'Adrianna Biedrzynska', 'role': 'Anka'}, {'name': 'Miroslaw Baka', 'role': 'Lazar Jacek'}, {'name': 'Anna Polony', 'role': 'Ewa'}, {'name': 'Ewa Blaszczyk', 'role': 'Hanka'}, {'name': 'Maria Koscialkowska', 'role': 'Zofia'}]",13.0,100.0,13.0,100.0,0.0,0.0,0.0,0.0,7.0,218.0,167.0,77.0,14.0,6.0,37.0,17.0,"Telewizja Polska (TVP), Zespol Filmowy ""Tor"", Sender Freies Berlin (SFB)",9 h 32 m,Drama,http://www.janusfilms.com/films/1649,"Venice Film Festival Venice Film Festival, Chicago Film Critics Association Awards Chicago Film Critics Association Awards, Bodil Awards Bodil Awards"
https://www.metacritic.com/movie/tokyo-story/,2.Tokyo Story,100,"Mar 13, 1972",Unknown,"Yasujiro Ozu’s Tokyo Story follows an aging couple, Tomi and Sukichi, on their journey from their rural village to visit their two married children in bustling, postwar Tokyo. Their reception is disappointing: too busy to entertain them, their children send them off to a health spa. After Tomi falls ill she and Sukichi return home, while the children, grief-stricken, hasten to be with her. From a simple tale unfolds one of the greatest of all Japanese films. Starring Ozu regulars Chishu Ryu and Setsuko Hara, the film reprises one of the director’s favorite themes—that of generational conflict—in a way that is quintessentially Japanese and yet so universal in its appeal that it continues to resonate as one of cinema’s greatest masterpieces. [Janus Films]",Yasujirô Ozu,"Kôgo Noda, Yasujirô Ozu","[{'name': 'Chishû Ryû', 'role': 'Shukichi Hirayama'}, {'name': 'Chieko Higashiyama', 'role': 'Tomi Hirayama'}, {'name': 'Sô Yamamura', 'role': 'Koichi Hirayama'}, {'name': 'Setsuko Hara', 'role': 'Noriko Hirayama'}, {'name': 'Haruko Sugimura', 'role': 'Shige Kaneko'}, {'name': 'Kuniko Miyake', 'role': 'Fumiko Hirayama - his wife'}, {'name': 'Kyôko Kagawa', 'role': 'Kyôko Hirayama'}, {'name': 'Eijirô Tôno', 'role': 'Sanpei Numata'}, {'name': 'Nobuo Nakamura', 'role': 'Kurazo Kaneko'}, {'name': 'Shirô Ôsaka', 'role': 'Keizo Hirayama'}, {'name': 'Hisao Toake', 'role': 'Osamu Hattori'}, {'name': 'Teruko Nagaoka', 'role': 'Yone Hattori'}, {'name': 'Mutsuko Sakura', 'role': 'Oden-ya no onna'}, {'name': 'Toyo Takahashi', 'role': 'Rinka no saikun'}, {'name': 'Tôru Abe', 'role': 'Tetsudou-shokuin'}, {'name': 'Sachiko Mitani', 'role': 'Aparto no onna'}, {'name': 'Zen Murase', 'role': ""Minoru Hirayama - Koichi's son""}, {'name': 'Mitsuhiro Môri', 'role': ""Isamu Hirayama - Koichi's son""}, {'name': 'Junko Anan', 'role': 'Biyouin no joshu'}, {'name': 'Ryôko Mizuki', 'role': 'Biyouin no kyaku'}]",19.0,100.0,19.0,100.0,0.0,0.0,0.0,0.0,8.0,176.0,162.0,92.0,8.0,5.0,6.0,3.0,"Shochiku, Entertain Me Productions",2 h 16 m,Drama,https://www.janusfilms.com/films/1755,"Mainichi Film Concours Mainichi Film Concours, British Film Institute Awards British Film Institute Awards, Online Film & Television Association Online Film & Television Association"
https://www.metacritic.com/movie/three-colors-red/,3.Three Colors: Red,100,"Nov 23, 1994",RatedR,"Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. Red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [Criterion]",Krzysztof Kieslowski,"Krzysztof Piesiewicz, Krzysztof Kieslowski, Agnieszka Holland, Edward Zebrowski, Edward Klosinski, Marcin Latallo","[{'name': 'Irène Jacob', 'role': 'Valentine'}, {'name': 'Jean-Louis Trintignant', 'role': 'Le juge'}, {'name': 'Frédérique Feder', 'role': 'Karin'}, {'name': 'Jean-Pierre Lorit', 'role': 'Auguste'}, {'name': 'Samuel Le Bihan', 'role': 'Le photographe (Photographer)'}, {'name': 'Marion Stalens', 'role': 'Le vétérinaire'}, {'name': 'Teco Celio', 'role': 'Le barman'}, {'name': 'Bernard Escalon', 'role': 'Le disquaire'}, {'name': 'Jean Schlegel', 'role': 'Le voisin'}, {'name': 'Elzbieta Jasinska', 'role': 'La femme'}, {'name': 'Paul Vermeulen', 'role': ""L'ami de Karin""}, {'name': 'Jean-Marie Daunas', 'role': 'Le gardien du théâtre'}, {'name': 'Roland Carey', 'role': 'Le trafiquant'}, {'name': 'Brigitte Raul', 'role': None}, {'name': 'Leo Ramseyer', 'role': None}, {'name': 'Nader Farman', 'role': None}, {'name': 'Cécile Tanner', 'role': None}, {'name': 'Anne Theurillat', 'role': None}, {'name': 'Neige Dolsky', 'role': None}, {'name': 'Jessica Korinek', 'role': None}]",11.0,100.0,11.0,100.0,0.0,0.0,0.0,0.0,8.0,299.0,267.0,89.0,14.0,5.0,18.0,6.0,"MK2 Productions, France 3 Cinéma, CAB Productions, Zespol Filmowy ""Tor"", Canal+, Eurimages, Télévision Suisse-Romande (TSR), Office Fédéral de la Culture, CED Productions",1 h 39 m,"Drama, Mystery, Romance",Unknown,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, César Awards, France César Awards, France"
https://www.metacritic.com/movie/rear-window/,4.Rear Window,100,"Sep 1, 1954",PG,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich","[{'name': 'James Stewart', 'role': 'L.B. Jefferies'}, {'name': 'Grace Kelly', 'role': 'Lisa Fremont'}, {'name': 'Wendell Corey', 'role': 'Tom Doyle'}, {'name': 'Thelma Ritter', 'role': 'Stella'}, {'name': 'Raymond Burr', 'role': 'Lars Thorwald'}, {'name': 'Judith Evelyn', 'role': 'Miss Lonelyhearts'}, {'name': 'Ross Bagdasarian', 'role': 'Songwriter'}, {'name': 'Georgine Darcy', 'role': 'Miss Torso'}, {'name': 'Sara Berner', 'role': 'Woman on Fire Escape'}, {'name': 'Frank Cady', 'role': 'Man on Fire Escape'}, {'name': 'Jesslyn Fax', 'role': 'Miss Hearing Aid'}, {'name': 'Rand Harper', 'role': 'Newlywed'}, {'name': 'Irene Winston', 'role': 'Emma Thorwald'}, {'name': 'Havis Davenport', 'role': 'Newlywed'}, {'name': 'Jerry Antes', 'role': 'Dancer with Miss Torso'}, {'name': 'Barbara Bailey', 'role': 'Choreographer with Miss Torso'}, {'name': 'Benny Bartlett', 'role': 'Man with Miss Torso'}, {'name': 'Nick Borgani', 'role': 'Minor Role'}, {'name': 'Sue Casey', 'role': 'Sunbather'}, {'name': 'Iphigenie Castiglioni', 'role': 'Woman with Bird'}]",18.0,100.0,18.0,100.0,0.0,0.0,0.0,0.0,8.0,698.0,650.0,93.0,34.0,5.0,14.0,2.0,Alfred J. Hitchcock Productions,1 h 52 m,"Drama, Mystery, Thriller",Unknown,"Academy Awards, USA Academy Awards, USA, New York Film Critics Circle Awards New York Film Critics Circle Awards, Video Software Dealers Association Video Software Dealers Association"
https://www.metacritic.com/movie/casablanca/,5.Casablanca,100,"Jan 23, 1943",PG,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",Michael Curtiz,"Philip G. Epstein, Julius J. Epstein, Howard Koch, Murray Burnett, Joan Alison, Casey Robinson","[{'name': 'Humphrey Bogart', 'role': 'Rick Blaine'}, {'name': 'Ingrid Bergman', 'role': 'Ilsa Lund'}, {'name': 'Paul Henreid', 'role': 'Victor Laszlo'}, {'name': 'Claude Rains', 'role': 'Captain Louis Renault'}, {'name': 'Conrad Veidt', 'role': 'Major Heinrich Strasser'}, {'name': 'Sydney Greenstreet', 'role': 'Signor Ferrari'}, {'name': 'Peter Lorre', 'role': 'Ugarte'}, {'name': 'S.Z. Sakall', 'role': 'Carl'}, {'name': 'Madeleine Lebeau', 'role': 'Yvonne'}, {'name': 'Dooley Wilson', 'role': 'Sam'}, {'name': 'Joy Page', 'role': 'Annina Brandel'}, {'name': 'John Qualen', 'role': 'Berger'}, {'name': 'Leonid Kinskey', 'role': 'Sascha'}, {'name': 'Curt Bois', 'role': 'Pickpocket'}, {'name': 'Abdullah Abbas', 'role': 'Arab'}, {'name': 'Enrique Acosta', 'role': ""Guest at Rick's""}, {'name': 'Ed Agresti', 'role': 'Bar Patron'}, {'name': 'Arnet Amos', 'role': 'French Soldier, Singer'}, {'name': 'Louis V. Arco', 'role': ""Refugee at Rick's""}, {'name': 'Frank Arnold', 'role': 'Overseer'}]",18.0,100.0,18.0,100.0,0.0,0.0,0.0,0.0,8.0,690.0,638.0,92.0,28.0,4.0,24.0,3.0,Warner Bros.,1 h 42 m,"Drama, Romance, War",https://www.facebook.com/CasablancaTheMovie,"Academy Awards, USA Academy Awards, USA, Online Film & Television Association Online Film & Television Association, Photoplay Awards Photoplay Awards"
https://www.metacritic.com/movie/boyhood/,6.Boyhood,100,"Jul 11, 2014",R,"Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, Boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [IFC Films]",Richard Linklater,Richard Linklater,"[{'name': 'Ellar Coltrane', 'role': 'Mason'}, {'name': 'Patricia Arquette', 'role': 'Olivia'}, {'name': 'Ethan Hawke', 'role': 'Dad'}, {'name': 'Elijah Smith', 'role': 'Tommy'}, {'name': 'Lorelei Linklater', 'role': 'Samantha'}, {'name': 'Steven Chester Prince', 'role': 'Ted'}, {'name': 'Bonnie Cross', 'role': 'Teacher'}, {'name': 'Sydney Orta', 'role': 'Elementary School Girl'}, {'name': 'Libby Villari', 'role': 'Grandma'}, {'name': 'Marco Perella', 'role': 'Professor Bill Welbrock'}, {'name': 'Jamie Howard', 'role': 'Mindy'}, {'name': 'Andrew Villarreal', 'role': 'Randy'}, {'name': 'Shane Graham', 'role': 'Neighborhood Friend #1'}, {'name': 'Tess Allen', 'role': 'Neighborhood Friend #2'}, {'name': 'Ryan Power', 'role': 'Paul'}, {'name': 'Sharee Fowler', 'role': 'Book Trivia Judge'}, {'name': 'Mark Finn', 'role': 'Book Release Emcee'}, {'name': 'Charlie Sexton', 'role': 'Jimmy'}, {'name': 'Byron Jenkins', 'role': 'Barber'}, {'name': 'Holly Moore', 'role': ""Mason's 4th Grade Teacher""}]",50.0,100.0,50.0,100.0,0.0,0.0,0.0,0.0,7.0,84.0,2076.0,76.0,311.0,11.0,329.0,12.0,"IFC Productions, Detour Filmproduction",2 h 45 m,Drama,http://www.facebook.com/boyhoodmovie,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, Online Film & Television Association Online Film & Television Association"
https://www.metacritic.com/movie/lawrence-of-arabia-re-release/,7.Lawrence of Arabia (re-release),100,"Sep 20, 2002",PG,"The 40th anniversary re-release of David Lean's 1962 masterpiece, starring Peter O'Toole in one of the most electrifying debuts in film history.",David Lean,"Robert Bolt, Michael Wilson","[{'name': ""Peter O'Toole"", 'role': 'Lawrence'}, {'name': 'Alec Guinness', 'role': 'Prince Faisal'}, {'name': 'Anthony Quinn', 'role': 'Auda Abu Tayi'}, {'name': 'Jack Hawkins', 'role': 'General Edmund Allenby'}, {'name': 'Omar Sharif', 'role': 'Sherif Ali'}, {'name': 'José Ferrer', 'role': 'Turkish Bey'}, {'name': 'Anthony Quayle', 'role': 'Colonel Brighton'}, {'name': 'Claude Rains', 'role': 'Mr. Dryden'}, {'name': 'Arthur Kennedy', 'role': 'Jackson Bentley'}, {'name': 'Donald Wolfit', 'role': 'General Archibald Murray'}, {'name': 'I.S. Johar', 'role': 'Gasim'}, {'name': 'Gamil Ratib', 'role': 'Majid'}, {'name': 'Michel Ray', 'role': 'Farraj'}, {'name': 'John Dimech', 'role': 'Daud'}, {'name': 'Zia Mohyeddin', 'role': 'Tafas'}, {'name': 'Howard Marion-Crawford', 'role': 'Medical Officer'}, {'name': 'Jack Gwillim', 'role': 'Club Secretary'}, {'name': 'Hugh Miller', 'role': 'R.A.M.C. Colonel'}, {'name': 'John Barry', 'role': 'MP in Map Room'}, {'name': 'Bruce Beeby', 'role': ""Captain at Officer's Club""}]",8.0,100.0,8.0,100.0,0.0,0.0,0.0,0.0,8.0,523.0,458.0,88.0,37.0,7.0,28.0,5.0,Horizon Pictures (II),3 h 36 m,"Adventure, Biography, Drama, War",https://www.facebook.com/LawrenceofArabia,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, BAFTA Awards BAFTA Awards"
https://www.metacritic.com/movie/the-leopard-re-release/,8.The Leopard (re-release),100,"Aug 13, 2004",PG,"Set in Sicily in 1860, Luchino Visconti's spectacular 1963 adaptation of Giuseppe di Lampedusa's international bestseller is one of the cinema's greatest evocations of the past, achingly depicting the passing of an ancient order. (Film Forum)",Luchino Visconti,"Giuseppe Tomasi di Lampedusa, Suso Cecchi D'Amico, Pasquale Festa Campanile, Enrico Medioli, Massimo Franciosa, Luchino Visconti","[{'name': 'Burt Lancaster', 'role': 'Prince Don Fabrizio Salina'}, {'name': 'Alain Delon', 'role': 'Tancredi Falconeri'}, {'name': 'Claudia Cardinale', 'role': 'Angelica Sedara, Bastiana'}, {'name': 'Paolo Stoppa', 'role': 'Don Calogero Sedara'}, {'name': 'Rina Morelli', 'role': 'Princess Maria Stella Salina'}, {'name': 'Romolo Valli', 'role': 'Father Pirrone'}, {'name': 'Terence Hill', 'role': 'Count Cavriaghi'}, {'name': 'Pierre Clémenti', 'role': 'Francesco Paolo'}, {'name': 'Lucilla Morlacchi', 'role': 'Concetta'}, {'name': 'Giuliano Gemma', 'role': ""Garibaldi's General""}, {'name': 'Ida Galli', 'role': 'Carolina'}, {'name': 'Ottavia Piccolo', 'role': 'Caterina'}, {'name': 'Carlo Valenzano', 'role': 'Paolo'}, {'name': 'Brook Fuller', 'role': 'Little Prince'}, {'name': 'Anna Maria Bottini', 'role': 'Mademoiselle Dombreuil, the Governess'}, {'name': 'Lola Braccini', 'role': 'Donna Margherita'}, {'name': 'Marino Masé', 'role': 'Tutor'}, {'name': 'Howard Nelson Rubien', 'role': 'Don Diego'}, {'name': 'Tina Lattanzi', 'role': None}, {'name': 'Marcella Rovena', 'role': None}]",12.0,100.0,12.0,100.0,0.0,0.0,0.0,0.0,7.0,120.0,94.0,78.0,14.0,12.0,12.0,10.0,"Titanus, Société Nouvelle Pathé Cinéma, Société Générale de Cinématographie (S.G.C.)",3 h 7 m,"Drama, History",Unknown,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, Italian National Syndicate of Film Journalists Italian National Syndicate of Film Journalists"
https://www.metacritic.com/movie/the-conformist-re-release/,9.The Conformist,100,"Oct 22, 1970",R,"Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power.",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci","[{'name': 'Jean-Louis Trintignant', 'role': 'Marcello'}, {'name': 'Stefania Sandrelli', 'role': 'Giulia'}, {'name': 'Gastone Moschin', 'role': 'Manganiello'}, {'name': 'Dominique Sanda', 'role': 'Anna'}, {'name': 'Pierre Clémenti', 'role': 'Lino'}, {'name': 'Enzo Tarascio', 'role': 'Professor Quadri'}, {'name': 'José Quaglio', 'role': 'Italo'}, {'name': 'Fosco Giachetti', 'role': 'Il colonnello'}, {'name': 'Yvonne Sanson', 'role': 'Madre di Giulia'}, {'name': 'Milly', 'role': 'Madre di Marcello'}, {'name': 'Giuseppe Addobbati', 'role': 'Padre di Marcello'}, {'name': 'Antonio Maestri', 'role': 'Confessore'}, {'name': 'Alessandro Haber', 'role': 'Cieco ubriaco'}, {'name': 'Massimo Sarchielli', 'role': 'Cieco'}, {'name': 'Christian Aligny', 'role': 'Raoul'}, {'name': 'Pierangelo Civera', 'role': 'Franz'}, {'name': 'Pasquale Fortunato', 'role': 'Marcello bambino'}, {'name': 'Gianni Amico', 'role': 'Allievo Prof. Quadri'}, {'name': 'Joel Barcellos', 'role': 'Allievo Prof. Quadri'}, {'name': 'Christian Belaygue', 'role': 'Gipsy'}]",11.0,100.0,11.0,100.0,0.0,0.0,0.0,0.0,7.0,143.0,108.0,76.0,18.0,13.0,17.0,12.0,"Mars Film, Marianne Productions, Maran Film",1 h 47 m,Drama,Unknown,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, National Society of Film Critics Awards, USA National Society of Film Critics Awards, USA"
https://www.metacritic.com/movie/the-godfather/,10.The Godfather,100,"Mar 24, 1972",R,"Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","[{'name': 'Marlon Brando', 'role': 'Don Vito Corleone'}, {'name': 'Al Pacino', 'role': 'Michael'}, {'name': 'James Caan', 'role': 'Sonny'}, {'name': 'Diane Keaton', 'role': 'Kay Adams'}, {'name': 'Richard S. Castellano', 'role': 'Clemenza'}, {'name': 'Robert Duvall', 'role': 'Tom Hagen'}, {'name': 'Sterling Hayden', 'role': 'Capt. McCluskey'}, {'name': 'John Marley', 'role': 'Jack Woltz'}, {'name': 'Richard Conte', 'role': 'Barzini'}, {'name': 'Al Lettieri', 'role': 'Sollozzo'}, {'name': 'Abe Vigoda', 'role': 'Tessio'}, {'name': 'Talia Shire', 'role': 'Connie'}, {'name': 'Gianni Russo', 'role': 'Carlo'}, {'name': 'John Cazale', 'role': 'Fredo'}, {'name': 'Rudy Bond', 'role': 'Cuneo'}, {'name': 'Al Martino', 'role': 'Johnny Fontane'}, {'name': 'Morgana King', 'role': 'Mama Corleone'}, {'name': 'Lenny Montana', 'role': 'Luca Brasi'}, {'name': 'John Martino', 'role': 'Paulie Gatto'}, {'name': 'Salvatore Corsitto', 'role': 'Bonasera'}]",16.0,100.0,16.0,100.0,0.0,0.0,0.0,0.0,9.0,84.0,4108.0,95.0,116.0,3.0,94.0,2.0,"Paramount Pictures, Albert S. Ruddy Productions, Alfran Productions",2 h 55 m,"Crime, Drama",http://www.thegodfather.com/,"Academy Awards, USA Academy Awards, USA, Golden Globes, USA Golden Globes, USA, National Society of Film Critics Awards, USA National Society of Film Critics Awards, USA"
